Количество комнат;Парковка;Стоимость;Регион;Название дома (ЖК);Лифт грузовой (кол-во);Балкон/лоджия;Тип дома;Кол-во раздельных санузлов;Ремонт;Расстояние до метро
1.0;Неизвестно;5735860;Москва;ЖК «Саларьево парк»;2.0;Нет;Панельный;0.0;Отсутсвует;0.9996
2.0;Неизвестно;7107280;Москва;ЖК «Саларьево парк»;2.0;Нет;Панельный;2.0;Отсутсвует;0.9996
2.0;Неизвестно;12346400;Москва;ЖК «Лефортово парк»;2.0;Балкон;Монолитный;2.0;Отсутсвует;0.833
1.0;Неизвестно;10278450;Москва;ЖК «Лефортово парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.833
2.0;Неизвестно;10438680;Москва;ЖК «Римского-Корсакова 11»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.75
2.0;Неизвестно;10033923;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
2.0;Неизвестно;10080190;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
3.0;Неизвестно;14124500;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;2.0;Отсутсвует;0.4998
3.0;Неизвестно;14669930;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;2.0;Отсутсвует;0.4998
1.0;Неизвестно;8933800;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;0.0;Отсутсвует;0.4998
1.0;Неизвестно;9032100;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;0.0;Отсутсвует;0.4998
1.0;Неизвестно;9317000;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;0.0;Отсутсвует;0.4998
2.0;Неизвестно;16622440;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;2.0;Отсутсвует;0.4998
